method,cld,mean_rmsd,success_rate,owner_slug,report_url
competition-prediction-pxXgSbG31dfMbqohnMnfP,a,1.330 ± 0.266,86.378 ± 2.466,averkova-nika98,https://docs.google.com/document/d/1SGw3gklEnCv-n_zV3mRvpl4sok304032/edit?usp=sharing&ouid=102900202710669481806&rtpof=true&sd=true
competition-prediction-sKvyY8FZzDDX1jaFpBG8t,b,1.368 ± 0.265,85.363 ± 2.603,ernestglukhov,https://docs.google.com/document/d/1ZscH4iBQFIDemyQVkfVfAevUrpPBmJ-vUiBYwwhMAK0/edit?usp=sharing
competition-prediction-SXMdEmccFmbNBtiVCZvp9,b,1.388 ± 0.267,85.213 ± 2.601,vemikainen,https://docs.google.com/document/d/1e4ot7699vR7WfHQoaUXe7tRv7gN127Eu/edit?usp=sharing&ouid=102900202710669481806&rtpof=true&sd=true
competition-prediction-Edd645cpFboFZRsUm20em,c,1.432 ± 0.266,84.673 ± 2.670,vemikainenalt,https://docs.google.com/document/d/1QujhEKtMpdUwFxE_AVq6RBzsHEh4gjkd/edit?usp=sharing&ouid=102900202710669481806&rtpof=true&sd=true
competition-prediction-late-im0HtqthslCqgR1BHgf9b,d,1.549 ± 0.269,83.657 ± 2.769,wiwnopgm,https://apricot-zorah-51.tiiny.site
competition-prediction-JPiM6etVV4SNygnvAZqj7,e,5.045 ± 0.906,73.283 ± 3.368,auro,https://github.com/meyresearch/BoltzForPolaris/blob/250e0b89d9e289b9a42c9edb580cf5f73cac721d/Polaris_Report.pdf
competition-prediction-DLGeSzUxB29MqK9pnBawM,f,2.214 ± 0.287,67.277 ± 3.453,hmacdope,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-TPDYWfhEw4nYp81Kd5s1W,g,2.334 ± 0.276,62.475 ± 3.583,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-t4heZQ05hXlJ6vcfhZjP2,h,2.647 ± 0.286,53.138 ± 3.686,kysun,https://docs.google.com/document/d/1YVxVi-zMc7rX0TrvO7SIZfkQ-uUx3ChdtV4oovq80ts/edit?usp=sharing
competition-prediction-tXLnHU72dFljtgWAuvh8Z,i,5.046 ± 0.774,48.136 ± 3.703,jthorton,https://github.com/jthorton/polaris_fegrow_mcs
competition-prediction-M0ePYflVVxiF79RnRcCkC,j,2.772 ± 0.284,47.176 ± 3.767,djc56,https://github.com/cole-group/polaris-fegrow
competition-prediction-GZRD1499Q0k3ejSX7wR22,k,3.320 ± 0.290,40.984 ± 3.657,kbishop,https://docs.google.com/document/d/1exokoYptuwRllvnQp_S42ZW3ecDc6zdk/edit?usp=sharing&ouid=111958341380201258210&rtpof=true&sd=true
competition-prediction-kMD7A97Q9b7wnRH8Ze9e9,l,25.794 ± 1.794,40.028 ± 3.720,ryusei-ogino,https://github.com/ryusei-ogino/antiviral-challenge
competition-prediction-Kec3G0H9KJGWfRouaHDLQ,m,3.175 ± 0.275,34.553 ± 3.600,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-S9yhyrYVraSy6vZ3u0iwS,n,5.660 ± 0.547,29.415 ± 3.204,xuhangdai,https://docs.google.com/document/d/e/2PACX-1vQueWu4Myu0YAguHKRHMX88y7vl4_8z-6_2Y0UXNxt0Ny3kEtyDSwjlsg6soVXOtLfnHnyqmK-WrLWH/pub
competition-prediction-th7lSmtpv1tMxmNjYqCJU,o,23.374 ± 1.690,25.785 ± 3.171,yul533,https://github.com/yul533/polaris-antiviral-challenge/blob/main/pose%20prediction
competition-prediction-sqr7BVpSxy4NSgljcEgl8,p,4.373 ± 0.284,22.442 ± 2.990,dodo,https://tinyurl.com/dodo-poses
competition-prediction-TSWQyQgwNyUbdp5EaGbmU,q,3.834 ± 0.280,18.548 ± 2.915,fjclark,https://github.com/michellab/polaris-poses-challenge-fegrow-a3fe
competition-prediction-MoEWcKkwYkPeFHrw3qaWd,r,4.936 ± 0.297,17.391 ± 2.778,myzzzz,https://www.quantabricks.xyz
competition-prediction-JLy17Fu87yM2ch741quDp,s,21.171 ± 1.625,16.349 ± 2.668,nnnty,https://github.com/yul533/polaris-antiviral-challenge/blob/main/pose%20prediction%202
competition-prediction-8oFF30AHg20eUKrnRQzUE,t,5.727 ± 0.272,2.681 ± 1.161,jscheen,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-GL85gNve6u38L33Q2wUiJ,u,6.418 ± 0.248,2.174 ± 1.089,vanguard737,https://github.com/alpha29/polaris-asap-poses/blob/master/doc/report.md
competition-prediction-o8n3Fgdevuj8th3FfUNu1,v,22.416 ± 1.397,1.110 ± 0.765,kriegegroup,https://drive.google.com/file/d/1leKiDHVeGDe5GL0_ll8fxZrDh05d4X7g/view?usp=sharing
competition-prediction-8ygjELYPeCo3or8AS6Xom,w,24.227 ± 0.047,0.000 ± 0.000,sekuen,https://colab.research.google.com/drive/1lne8e6-4gkNb3HwocvWBOH6NUBX0svc4?usp=sharing
